Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,,,,,,#date+year,,,#indicator+type,#indicator+value+num,
AND,2009-11-01,2009-11-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7011,November,,0.670489521206634,X
AND,2009-12-01,2009-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2009,2009,7012,December,,0.684294507914484,X
AND,2010-01-01,2010-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7021,Annual value,,0.755044951989835,X
AND,2010-01-01,2010-01-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7001,January,,0.700667736352744,X
AND,2010-02-01,2010-02-28,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7002,February,,0.730689698005948,X
AND,2010-03-01,2010-03-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7003,March,,0.736999961547852,X
AND,2010-04-01,2010-04-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7004,April,,0.745951349053015,X
AND,2010-05-01,2010-05-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7005,May,,0.795840407470310,X
AND,2010-06-01,2010-06-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7006,June,,0.819101445714052,X
AND,2010-07-01,2010-07-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7007,July,,0.783085356303837,X
AND,2010-08-01,2010-08-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7008,August,,0.775543585549497,X
AND,2010-09-01,2010-09-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7009,September,,0.765286599831637,X
AND,2010-10-01,2010-10-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7010,October,,0.719537851117315,X
AND,2010-11-01,2010-11-30,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7011,November,,0.732013269404150,X
AND,2010-12-01,2010-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2010,2010,7012,December,,0.756422188822689,X
AND,2011-01-01,2011-12-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7021,Annual value,,0.719355253609154,X
AND,2011-01-01,2011-01-31,6,'020,Andorra,LCU,Local currency units per USD,EUR,Euro,2011,2011,7001,January,,0.748521669702319,X
